Name,RA,DEC,JAB,P(6<z<6.5),P(6.5<z<7),P(z>7),flag,Note,Prority,zAB
J020059.932+085750.475,30.2497147,8.9640209,20.110052,0.01384861911,0.5998825891,1.09E-6,good,,3,21.113592400363263
J020502.173+123233.641,31.2590521,12.5426781,20.490652,7.84E-4,0.01565595725,1.54E-6,good,,3,21.40277203919424
J022700.281-042752.883,36.7511693,-4.4646896,20.397448,3.94E-6,0.08510429438,0.002340345641,VIK,,2,21.758808358465892
J025928.156+055153.289,44.8673169,5.8648026,20.11566,2.37E-4,0.02812704187,1.56E-7,good,,4,21.274435149141887
J080129.145+224134.012,120.371438,22.6927811,20.95251,0.01126418218,3.86E-4,2.39E-10,maybe,nearby star,2,21.17246748486104
J080848.961+254847.840,122.2040059,25.8132888,20.478382,0.01284682046,0.00332785796,2.08E-15,good,,1,21.185498051687414
J081040.297+235235.210,122.667906,23.8764472,20.196774,0.02191178088,0.01359311542,1.57E-11,good,,1,20.799954630744022
J085517.709+024442.541,133.8237866,2.7451502,20.297661,9.97E-5,0.0101163954,1.68E-6,maybe,,3,21.44759272189992
J085713.909+262631.824,134.3079554,26.4421733,20.33944,4.36E-4,0.02722967036,2.48E-9,maybe,,2,21.270934154680265
J090138.129+290655.732,135.4088717,29.1154811,20.58587,0.08915125652,0.005287113522,8.0E-13,good,,1,20.863913526786316
J092802.135+311359.978,142.0088971,31.2333271,20.112591,1.39E-5,0.01106167949,7.42E-11,good,,3,21.265475185832813
J094755.496+011127.145,146.9812328,1.1908735,20.56739,0.007110716211,0.0119475141,3.46E-9,good,,2,21.297568426118254
J095832.093+083248.099,149.6337221,8.5466941,20.288267,4.3E-4,0.01212950746,4.44E-13,good,,4,21.223093203445472
J105814.266+055200.672,164.5594428,5.8668533,20.172648,1.48E-6,0.01455087681,2.51E-5,good,,4,21.675979106161613
J111329.388+081657.756,168.3724488,8.28271,20.129858,0.001400403049,0.06652499725,3.6E-10,good,,4,21.11945018832787
J112127.311+024146.776,170.3637956,2.6963266,20.999872,0.1114527771,7.42E-5,3.02E-21,VIK,,1,21.384982462242593
J112918.512+152813.189,172.3271347,15.4703303,20.378475,0.001366669761,0.01562207187,6.76E-10,good,,2,21.37755071632323
J113128.001-004050.427,172.8666688,-0.6806742,20.532307,0.1015127939,6.11E-13,8.59E-65,VIK,,2,20.631004695758396
J115333.787+032649.063,178.3907784,3.4469619,20.445406,2.61E-4,0.01183464059,6.3E-9,good,,1,21.428511383503338
J123403.041+005251.931,188.512669,0.881092,20.133532,3.3E-9,0.01009305322,0.009320286197,good,,2,22.118695162838033
J125108.691+052036.762,192.786212,5.343545,20.250311,1.26E-4,0.03398515332,1.24E-9,good,,3,21.360046240640653
J125714.140+103330.352,194.308915,10.5584311,20.536642,0.01277997989,0.002998193178,1.25E-13,good,,2,21.044225673276237
J125941.747-013734.642,194.9239444,-1.6262895,20.470839,0.01334432231,0.07151688283,2.06E-21,VIK,,1,21.361311893940318
J131051.045+315141.431,197.7126893,31.8615086,20.400992,3.52E-4,0.01289746665,1.25E-8,good,,4,21.41181320714005
J132101.520+275033.446,200.2563352,27.842624,20.673214,8.4E-4,0.01354553349,9.68E-7,good,,2,21.482877731162855
J132235.624+300653.783,200.6484354,30.1149397,20.762171,0.0259917076,0.001352525328,2.58E-10,good,,2,20.946038748535777
J132712.645+075855.511,201.8026885,7.9820863,20.87325,0.01272776811,0.002090829663,2.72E-10,good,,4,21.146038748535776
J133226.487+081206.215,203.1103616,8.2017265,20.75454,0.01273276233,0.006303986774,6.11E-10,good,,4,21.276303626181836
J133236.231-013137.369,203.1509641,-1.527047,20.995407,0.01080719296,4.42E-4,7.7E-10,good,,4,21.21394716042763
J135132.346+012809.719,207.8847743,1.4693663,20.876961,0.004184694865,0.05075957715,4.88E-15,VIK,,2,21.680933611348046
J135201.743+000224.784,208.0072622,0.0402179,20.6999,7.47E-5,0.06355259853,1.69E-10,VIK,,1,21.824279514839592
J135243.215+091612.806,208.1800619,9.270224,20.475434,0.001283239925,0.03998596244,3.16E-7,good,,1,21.544302991603942
J135621.986-002522.950,209.091609,-0.4230418,20.295384,9.97E-5,0.01055765702,2.45E-7,good,,2,21.242188310696395
J140856.909+140014.471,212.237121,14.0040197,20.216244,3.63E-7,0.01107868397,2.51E-6,good,,3,21.635207989814806
J141353.022+004607.617,213.4709258,0.7687826,20.54001,0.01123930184,0.001274310831,3.31E-11,good,,4,20.96532449362217
J141502.776+034242.016,213.7615659,3.711671,20.104164,4.55E-4,0.01893078291,5.29E-17,good,,4,20.944107896025095
J142731.223+044538.224,216.8800969,4.7606179,20.302094,7.05E-6,0.03492820445,8.7E-7,good,,2,21.56393785160249
J143543.235+035914.441,218.9301455,3.9873447,20.134331,2.23E-5,0.04470056721,6.0E-8,maybe,,4,21.28383029309127
J150835.104+091310.329,227.1462654,9.2195359,20.330437,5.08E-8,0.01152484717,3.23E-4,good,,2,22.133337001030792
J151536.328+002354.620,228.9013657,0.3985055,20.339186,0.09828365327,0.05652623291,1.24E-11,good,,2,21.029366092738435
J151542.162+054432.308,228.9256754,5.7423079,20.507557,4.38E-5,0.01476668351,6.1E-5,good,,2,21.838411688477667
J151642.989+305344.515,229.1791219,30.8956986,17.707686,4.19E-52,0.03256753582,4.53E-17,good,,1,19.837518937279665
J152211.552+080933.484,230.5481323,8.159301,20.184296,0.1077944869,0.05845640648,3.3E-12,good,,3,20.693039084709554
J152402.741+304155.946,231.0114192,30.6988738,20.17511,0.02028690569,0.03540431461,2.4E-13,maybe,,4,20.830960399315
