Name,RA,DEC
J125525.007+032350.338,193.8541973,3.3973162
J235634.595+122958.255,359.1441474,12.4995154
J022245.783-010420.875,35.6907622,-1.0724654
J082145.541+050144.716,125.439754,5.0290878
J121623.579+070113.385,184.0982459,7.0203848
J093557.908+040222.596,143.9912819,4.0396101
J103349.188-030143.377,158.4549519,-3.0287158
J131245.844-011118.516,198.1910174,-1.1884767
J093706.959-014201.369,144.2789945,-1.7003803
J094954.763+341039.452,147.4781795,34.1776256
J083420.279+042323.950,128.5844978,4.3899862
J092310.518+335426.182,140.7938249,33.9072727
J092309.535+335405.287,140.7897291,33.9014686
J092651.042+330341.927,141.7126767,33.0616463
J092651.113+330321.301,141.7129718,33.055917
J092650.490+330324.100,141.7103738,33.0566944
J130208.147+105723.216,195.533947,10.9564488
J153451.438+103224.936,233.7143245,10.5402601
J153446.437+103226.362,233.693489,10.5406561
J153451.251+103226.494,233.7135476,10.5406928
J153451.224+103227.570,233.7134321,10.5409916
J152746.656+290627.728,231.9443986,29.1077023
J130217.156+105724.270,195.571483,10.9567418
J124126.855-012706.405,190.3618942,-1.4517793
J141450.519+032015.568,213.7104968,3.3376578
J130218.122+105723.406,195.5755084,10.9565018
J124148.149-012706.299,190.4506205,-1.4517496
J141450.441+032015.344,213.7101723,3.3375956
J141450.412+032014.403,213.7100519,3.3373342
J151923.064+014552.380,229.8460993,1.7645501
J124148.382-012705.293,190.4515931,-1.4514703
J152752.688+290631.274,231.9695342,29.1086872
J084630.082+284543.848,131.6253403,28.7621799
J125526.171+032343.931,193.8590463,3.3955365
J130720.063+003458.612,196.8335952,0.5829478
J130219.342+105724.281,195.5805901,10.9567448
J130220.362+105724.640,195.5848411,10.9568445
J141450.329+032015.262,213.7097051,3.3375729
J164131.161+313622.479,250.3798383,31.6062441
J164131.141+313622.470,250.3797545,31.6062417
J073602.480+265334.302,114.010335,26.8928618
J073548.487+265350.955,113.9520293,26.8974875
J164130.850+313621.940,250.3785403,31.6060944
J164131.085+313606.844,250.3795192,31.6019012
J164130.987+313624.716,250.3791119,31.6068655
J130220.832+105725.109,195.5867989,10.9569748
J130220.884+105739.533,195.5870155,10.9609815
J125919.680+063028.486,194.8320019,6.5079127
J164130.868+313624.193,250.3786171,31.6067202
J130220.883+105739.856,195.587011,10.9610711
J084629.301+284543.070,131.6220888,28.7619638
J084629.314+284543.644,131.6221425,28.7621234
J141450.259+032015.399,213.7094131,3.3376108
J125920.680+063028.782,194.836168,6.5079951
J141450.500+031958.810,213.7104153,3.3330027
J114558.409+063132.597,176.4933703,6.5257213
J114559.266+063133.323,176.4969413,6.5259231
J084630.396+284539.873,131.6266505,28.7610757
J095401.446+045651.117,148.5060242,4.9475324
J142405.353+111442.571,216.0223033,11.2451586
J130220.717+105722.485,195.5863225,10.9562459
J130616.989+223705.973,196.5707888,22.6183259
J100013.686+061511.785,150.0570231,6.2532737
J124151.222-012649.218,190.4634251,-1.447005
J125920.817+063030.635,194.8367385,6.5085097
J124151.056-012649.089,190.4627328,-1.4469691
J144617.045+015324.945,221.5710222,1.8902625
J124151.471-012649.550,190.4644617,-1.4470972
J100013.054+061513.414,150.0543919,6.253726
J140136.577+013232.292,210.4024062,1.5423034
J114600.206+063133.537,176.500858,6.5259824
J144616.128+015344.186,221.5671998,1.8956071
J150226.991+314110.771,225.6124645,31.6863252
J131313.165-023326.731,198.3048535,-2.5574252
J141455.456+032018.266,213.7310667,3.3384072
J131644.987+092524.321,199.187444,9.4234224
J144616.275+015344.328,221.5678142,1.8956467
J112939.463+073549.602,172.4144307,7.5971116
J130223.955+105724.077,195.5998112,10.9566881
J131645.133+092521.380,199.1880532,9.4226056
J113659.234-004916.456,174.2468074,-0.8212379
J133053.520+241409.952,202.7230007,24.2360977
J130224.121+105741.306,195.6005043,10.961474
J130224.340+105724.424,195.6014157,10.9567844
J130224.504+105723.334,195.6020984,10.9564816
J130224.426+105722.755,195.6017761,10.9563208
J130224.315+105722.674,195.6013106,10.9562983
J143137.184+083654.357,217.904935,8.6150992
J130224.805+105740.941,195.603353,10.9613724
J130224.652+105738.935,195.602718,10.9608153
J100014.081+061512.233,150.0586705,6.253398
J130224.193+105722.268,195.6008054,10.9561856
J004830.008+073511.639,12.1250353,7.5865663
J131428.717+111942.402,198.6196544,11.328445
J130225.153+105726.250,195.6048048,10.9572918
J131314.054-023326.429,198.3085573,-2.5573415
J110334.655+000007.019,165.8943938,0.0019497
J130220.798+105721.828,195.5866571,10.9560633
J004829.727+073500.738,12.1238639,7.5835382
J153632.016+100042.761,234.1333996,10.011878
